size,avg_count,avg_time
2,2,0.000170
4,8,0.000360
8,24,0.000570
16,64,0.000980
32,160,0.001970
64,384,0.004190
128,896,0.009130
256,2048,0.019520
512,4608,0.041370
1024,10240,0.088280
2048,22528,0.186830
4096,49152,0.421280
8192,106496,0.912010
16384,229376,2.120420
32768,491520,3.917980
65536,1048576,8.113500
131072,2228224,16.248970
262144,4718592,34.561210
524288,9961472,73.626420
