size,avg_count,avg_time
2,2,0.000290
4,8,0.000590
8,24,0.000540
16,64,0.001070
32,160,0.002130
64,384,0.004150
128,896,0.009170
256,2048,0.019950
512,4608,0.044060
1024,10240,0.093450
2048,22528,0.211190
4096,49152,0.435340
8192,106496,0.968550
16384,229376,2.137300
32768,491520,4.024120
65536,1048576,8.320900
131072,2228224,17.687050
262144,4718592,38.113350
524288,9961472,75.052350
