size,avg_count,avg_time
2,4,0.000320
4,7,0.000470
8,15,0.000550
16,28,0.000810
32,55,0.001230
64,110,0.002350
128,199,0.004390
256,349,0.009230
512,612,0.016850
1024,1124,0.033150
2048,2148,0.063560
4096,4196,0.131740
8192,8292,0.294110
16384,16484,0.686850
32768,32868,1.838330
65536,65636,5.861040
131072,131172,20.317280
262144,262244,51.769430
524288,524388,119.239600
