size,avg_count,avg_time
2,4,0.000590
4,7,0.000650
8,14,0.000540
16,35,0.000930
32,63,0.001570
64,101,0.002610
128,166,0.004920
256,300,0.009050
512,557,0.016170
1024,1077,0.033770
2048,2101,0.066490
4096,4156,0.131620
8192,8257,0.262390
16384,16450,0.710160
32768,32835,1.744910
65536,65605,5.868530
131072,131144,21.460610
262144,262218,52.048370
524288,524362,115.831650
