div_size,avg_time
1415,66.400000
1417,67.200000
1419,69.100000
1421,67.900000
1423,65.800000
1425,69.000000
1427,71.200000
1429,65.800000
1431,70.000000
1433,70.400000
1435,68.400000
1437,68.300000
1439,71.100000
1441,67.800000
1443,69.000000
1445,71.000000
1447,69.100000
1449,71.100000
1451,69.000000
1453,69.900000
1455,73.800000
1457,70.800000
1459,69.500000
1461,72.000000
1463,70.600000
1465,69.000000
1467,67.900000
1469,71.400000
1471,68.400000
1473,70.300000
1475,70.000000
1477,70.400000
1479,72.200000
1481,69.200000
1483,71.000000
1485,69.500000
1487,72.400000
1489,73.200000
1491,71.400000
1493,72.400000
1495,72.200000
1497,71.600000
1499,73.000000
1501,71.900000
1503,70.800000
1505,70.200000
1507,72.300000
1509,72.300000
1511,73.300000
1513,73.900000
1515,72.400000
1517,71.300000
1519,75.300000
1521,72.000000
1523,74.400000
1525,71.300000
1527,72.100000
1529,73.200000
1531,76.200000
1533,73.900000
1535,73.300000
1537,74.800000
1539,76.600000
1541,73.900000
1543,72.400000
1545,73.000000
1547,71.500000
1549,72.300000
1551,76.100000
1553,74.000000
1555,76.700000
1557,74.100000
1559,75.000000
1561,77.500000
1563,73.400000
1565,73.700000
1567,72.400000
1569,73.900000
1571,74.200000
1573,73.300000
1575,73.800000
1577,74.000000
1579,75.500000
1581,73.300000
1583,74.000000
1585,73.500000
1587,74.000000
1589,76.900000
1591,77.600000
1593,76.000000
1595,75.700000
1597,77.400000
1599,76.800000
1601,77.000000
1603,75.900000
1605,81.000000
1607,74.100000
1609,77.700000
1611,74.100000
1613,77.600000
1615,77.500000
1617,75.700000
1619,74.500000
1621,78.300000
1623,77.300000
1625,79.400000
1627,76.100000
1629,76.200000
1631,75.400000
1633,76.400000
1635,80.000000
1637,75.100000
1639,77.800000
1641,78.400000
1643,79.700000
1645,78.300000
1647,77.600000
1649,79.800000
1651,77.200000
1653,77.900000
1655,78.800000
1657,77.800000
1659,77.600000
1661,79.700000
1663,80.200000
1665,78.900000
1667,80.000000
1669,79.400000
1671,79.700000
1673,81.800000
1675,80.800000
1677,84.700000
1679,81.700000
1681,82.700000
1683,81.700000
1685,78.300000
1687,80.600000
1689,82.900000
1691,79.100000
1693,85.500000
1695,79.800000
1697,78.500000
1699,80.700000
1701,78.900000
1703,80.800000
1705,81.200000
1707,79.800000
1709,78.800000
1711,79.200000
1713,82.200000
1715,80.800000
1717,89.500000
1719,82.700000
1721,83.300000
1723,83.100000
1725,80.000000
1727,80.800000
1729,81.400000
1731,80.200000
1733,81.500000
1735,82.000000
1737,82.700000
1739,86.500000
1741,84.300000
1743,85.000000
1745,82.000000
1747,80.100000
1749,85.900000
1751,81.600000
1753,83.300000
1755,84.200000
1757,83.200000
1759,83.200000
1761,85.500000
1763,86.100000
1765,81.800000
1767,83.500000
1769,85.500000
1771,82.400000
1773,83.900000
1775,88.300000
1777,84.500000
1779,83.300000
1781,85.400000
1783,83.400000
1785,84.300000
1787,88.800000
1789,84.100000
1791,84.400000
1793,83.900000
1795,85.000000
1797,86.500000
1799,82.700000
1801,85.100000
1803,88.600000
1805,86.200000
1807,83.800000
1809,85.600000
1811,85.000000
1813,89.300000
1815,89.400000
1817,84.900000
1819,86.500000
1821,84.200000
1823,86.400000
1825,87.300000
1827,85.100000
1829,86.000000
1831,87.700000
1833,88.000000
1835,86.900000
1837,86.700000
1839,86.400000
1841,86.600000
1843,90.300000
1845,88.700000
1847,89.000000
1849,89.100000
1851,90.300000
1853,87.600000
1855,88.600000
1857,87.200000
1859,86.000000
1861,92.200000
1863,92.700000
1865,88.800000
1867,88.400000
1869,89.000000
1871,91.400000
1873,87.200000
1875,92.300000
1877,87.700000
1879,89.400000
1881,90.500000
1883,89.500000
1885,91.500000
1887,89.100000
1889,91.600000
1891,89.900000
1893,91.700000
1895,90.400000
1897,91.100000
1899,91.900000
1901,87.700000
1903,90.400000
1905,90.800000
1907,92.200000
1909,89.900000
1911,88.700000
1913,87.600000
1915,89.500000
1917,89.600000
1919,91.100000
1921,91.200000
1923,90.900000
1925,91.300000
1927,89.900000
1929,90.300000
1931,92.800000
1933,92.200000
1935,95.700000
1937,93.900000
1939,92.200000
1941,91.300000
1943,93.300000
1945,93.600000
1947,91.700000
1949,93.000000
1951,90.400000
1953,93.400000
1955,95.200000
1957,94.500000
1959,90.400000
1961,94.200000
1963,94.500000
1965,91.300000
1967,91.800000
1969,96.100000
1971,95.000000
1973,94.000000
1975,95.300000
1977,92.300000
1979,94.500000
1981,94.600000
1983,93.600000
1985,97.400000
1987,94.700000
1989,96.300000
1991,93.100000
1993,92.900000
1995,93.500000
1997,94.400000
1999,94.700000
2001,92.400000
2003,99.600000
2005,97.100000
2007,94.400000
2009,92.400000
2011,95.400000
2013,99.500000
2015,95.600000
2017,99.700000
2019,97.100000
2021,101.200000
2023,96.200000
2025,99.300000
2027,96.200000
2029,98.800000
2031,95.200000
2033,95.300000
2035,99.200000
2037,95.200000
2039,98.900000
2041,95.600000
2043,97.000000
2045,97.900000
2047,97.200000
2049,97.600000
2051,98.600000
2053,97.300000
2055,98.000000
2057,100.000000
2059,97.400000
2061,98.400000
2063,96.900000
2065,101.700000
2067,96.200000
2069,96.700000
2071,101.000000
2073,96.400000
2075,97.000000
2077,96.400000
2079,102.100000
2081,99.800000
2083,99.600000
2085,98.800000
2087,100.000000
2089,99.700000
2091,101.100000
2093,100.200000
2095,99.300000
2097,99.100000
2099,99.000000
2101,100.400000
2103,97.800000
2105,98.000000
2107,98.500000
2109,99.800000
2111,100.100000
2113,100.300000
2115,101.500000
2117,101.700000
2119,99.600000
2121,100.900000
2123,100.100000
2125,98.900000
2127,99.200000
2129,99.200000
2131,101.800000
2133,100.200000
2135,101.100000
2137,104.900000
2139,105.200000
2141,102.600000
2143,106.700000
2145,110.500000
2147,113.000000
2149,102.500000
2151,100.100000
2153,100.200000
2155,100.000000
2157,100.100000
2159,102.900000
2161,100.300000
2163,103.700000
2165,100.900000
2167,104.200000
2169,100.500000
2171,103.500000
2173,101.500000
2175,102.900000
2177,105.600000
2179,102.800000
2181,105.700000
2183,103.100000
2185,105.200000
2187,104.200000
2189,102.400000
2191,104.700000
2193,104.400000
2195,103.700000
2197,104.000000
2199,102.500000
2201,105.500000
2203,103.600000
