Size: 4, Run: 7, Comparisons: 4, Time: 0.000000
Size: 4, Run: 8, Comparisons: 4, Time: 0.000000
Size: 4, Run: 9, Comparisons: 6, Time: 0.000000
Size: 4, Run: 10, Comparisons: 6, Time: 0.000000
Size: 4, Run: 11, Comparisons: 4, Time: 0.001000
Size: 4, Run: 12, Comparisons: 4, Time: 0.002000
Size: 4, Run: 13, Comparisons: 4, Time: 0.001000
Size: 4, Run: 14, Comparisons: 4, Time: 0.000000
Size: 4, Run: 15, Comparisons: 4, Time: 0.036000
Size: 4, Run: 16, Comparisons: 6, Time: 0.001000
Size: 4, Run: 17, Comparisons: 6, Time: 0.001000
Size: 4, Run: 18, Comparisons: 4, Time: 0.000000
Size: 4, Run: 19, Comparisons: 4, Time: 0.000000
Size: 4, Run: 20, Comparisons: 6, Time: 0.001000
Size: 4, Run: 21, Comparisons: 6, Time: 0.001000
Size: 4, Run: 22, Comparisons: 4, Time: 0.000000
Size: 4, Run: 23, Comparisons: 4, Time: 0.001000
Size: 4, Run: 24, Comparisons: 4, Time: 0.001000
Size: 4, Run: 25, Comparisons: 4, Time: 0.001000
Size: 4, Run: 26, Comparisons: 4, Time: 0.001000
Size: 4, Run: 27, Comparisons: 4, Time: 0.000000
Size: 4, Run: 28, Comparisons: 4, Time: 0.001000
Size: 4, Run: 29, Comparisons: 4, Time: 0.001000
Size: 4, Run: 30, Comparisons: 4, Time: 0.001000
Size: 4, Run: 31, Comparisons: 4, Time: 0.001000
Size: 4, Run: 32, Comparisons: 6, Time: 0.000000
Size: 4, Run: 33, Comparisons: 4, Time: 0.000000
Size: 4, Run: 34, Comparisons: 6, Time: 0.000000
Size: 4, Run: 35, Comparisons: 4, Time: 0.001000
Size: 4, Run: 36, Comparisons: 4, Time: 0.001000
Size: 4, Run: 37, Comparisons: 4, Time: 0.001000
Size: 4, Run: 38, Comparisons: 6, Time: 0.000000
Size: 4, Run: 39, Comparisons: 4, Time: 0.001000
Size: 4, Run: 40, Comparisons: 6, Time: 0.001000
Size: 4, Run: 41, Comparisons: 6, Time: 0.000000
Size: 4, Run: 42, Comparisons: 4, Time: 0.000000
Size: 4, Run: 43, Comparisons: 4, Time: 0.001000
Size: 4, Run: 44, Comparisons: 6, Time: 0.001000
Size: 4, Run: 45, Comparisons: 4, Time: 0.000000
Size: 4, Run: 46, Comparisons: 6, Time: 0.000000
Size: 4, Run: 47, Comparisons: 4, Time: 0.000000
Size: 4, Run: 48, Comparisons: 4, Time: 0.001000
