size,avg_count,avg_time
2,2,0.000410
4,4,0.000280
8,10,0.000580
16,20,0.000880
32,45,0.001910
64,88,0.003500
128,191,0.007710
256,437,0.017580
512,937,0.043370
1024,1955,0.112780
2048,3990,0.337130
4096,8077,1.203510
8192,16266,4.032920
16384,32641,15.737260
32768,65404,62.451390
65536,130934,233.499100
131072,262002,930.496920
262144,524146,3729.664560
524288,1048428,14724.333860
