arr_size,avg_partition_size
100,41.799999
200,87.099998
300,133.100006
400,166.500000
500,220.600006
600,257.000000
700,334.799988
800,367.500000
900,391.299988
1000,338.799988
1100,368.600006
1200,523.400024
1300,555.400024
1400,630.900024
1500,678.099976
1600,738.400024
1700,792.299988
1800,816.099976
1900,885.000000
2000,958.900024
2100,1009.700012
2200,585.900024
2300,408.200012
2400,1034.400024
2500,1035.099976
2600,1131.300049
2700,1213.500000
2800,1240.800049
2900,1342.300049
3000,1180.500000
3100,1394.599976
3200,440.799988
3300,1349.699951
3400,1468.900024
3500,1592.400024
3600,1619.099976
3700,1697.300049
3800,1733.500000
3900,1804.300049
4000,1829.500000
4100,1840.400024
4200,1934.699951
4300,2008.699951
4400,2136.300049
4500,2114.500000
4600,2167.500000
4700,2170.300049
4800,2217.399902
4900,2378.800049
5000,2344.800049
5100,2424.399902
5200,2381.199951
5300,2466.699951
5400,2495.199951
5500,2592.199951
5600,2648.600098
5700,2724.100098
5800,2741.899902
5900,2761.899902
6000,2913.899902
6100,2845.899902
6200,2931.500000
6300,3020.000000
6400,3026.500000
6500,3119.100098
6600,1915.000000
6700,2807.100098
6800,3067.000000
6900,1915.099976
7000,3011.899902
7100,3265.899902
7200,3151.100098
7300,2338.399902
7400,2044.099976
7500,3316.000000
7600,2878.000000
7700,3281.699951
7800,3337.800049
7900,3467.899902
8000,3546.500000
8100,3801.500000
8200,3763.300049
8300,3607.800049
8400,3889.000000
8500,3948.199951
8600,4043.899902
8700,4042.899902
8800,2950.100098
8900,3575.399902
9000,3376.199951
9100,3223.300049
9200,4025.000000
9300,4295.600098
9400,4242.299805
9500,3461.100098
9600,2048.199951
9700,4375.600098
9800,4291.500000
9900,4164.100098
10000,4206.600098
10100,4449.299805
10200,4625.600098
10300,4579.799805
10400,4739.200195
10500,4703.700195
10600,4772.799805
10700,4878.100098
10800,4972.600098
10900,4879.100098
11000,5197.799805
11100,5268.799805
11200,5189.700195
11300,5223.500000
11400,5177.299805
11500,5475.200195
11600,5391.000000
11700,5350.299805
11800,5532.799805
11900,5523.299805
12000,5442.899902
12100,5744.899902
12200,5668.500000
12300,5857.200195
12400,5731.899902
12500,5872.299805
12600,5868.299805
12700,5875.500000
12800,5857.899902
12900,6138.799805
13000,5970.799805
13100,5959.000000
13200,6237.700195
13300,6438.299805
13400,6377.299805
13500,6461.500000
13600,6528.299805
13700,6381.500000
13800,6629.799805
13900,6550.899902
14000,6725.700195
14100,6656.799805
14200,6681.700195
14300,6741.799805
14400,6924.600098
14500,6923.799805
14600,6992.899902
14700,6992.200195
14800,7119.799805
14900,7206.799805
15000,7173.100098
15100,7142.799805
15200,7210.799805
15300,7262.399902
15400,7333.100098
15500,7244.899902
15600,7376.299805
15700,7429.100098
15800,7525.799805
15900,7509.200195
16000,7577.000000
16100,7628.799805
16200,7713.299805
16300,7616.600098
16400,7698.700195
16500,7770.700195
16600,7785.500000
16700,7972.899902
16800,8019.100098
16900,8076.700195
17000,8029.100098
17100,8150.399902
17200,8207.200195
17300,8242.299805
17400,8202.500000
17500,8267.900391
17600,8461.500000
17700,8513.099609
17800,8462.200195
17900,8583.599609
18000,8528.400391
18100,8623.799805
18200,8770.099609
18300,8726.299805
18400,8787.299805
18500,8865.599609
18600,8850.099609
18700,8810.000000
18800,8969.400391
18900,8996.299805
19000,9064.799805
19100,9109.599609
19200,9168.299805
19300,9266.799805
19400,9164.400391
19500,9306.099609
19600,9258.099609
19700,6251.299805
19800,7891.200195
19900,9161.799805
20000,9203.000000
20100,8421.200195
20200,9095.200195
20300,9259.000000
20400,9227.799805
20500,7239.799805
20600,9661.599609
20700,7051.299805
20800,8053.399902
20900,9379.000000
21000,9407.200195
21100,9651.099609
21200,9946.900391
21300,9958.599609
21400,9659.599609
21500,9914.299805
21600,10307.700195
21700,10246.200195
21800,10235.500000
21900,8724.299805
22000,8518.200195
22100,9709.700195
22200,6477.200195
22300,9704.400391
22400,9878.099609
22500,9833.099609
22600,7195.200195
22700,8656.700195
22800,9790.500000
22900,8650.599609
23000,9914.599609
23100,10154.500000
23200,10086.200195
23300,10740.500000
23400,10673.599609
23500,10862.500000
23600,10864.700195
23700,11122.000000
23800,10689.099609
23900,10957.700195
24000,11164.099609
24100,11411.500000
24200,11318.500000
24300,11599.000000
24400,11314.500000
24500,11465.400391
24600,11638.099609
24700,11563.700195
24800,11495.700195
24900,11767.299805
25000,11506.500000
25100,11779.299805
25200,11541.700195
25300,11901.400391
25400,11910.299805
25500,12007.700195
25600,12084.900391
25700,12264.000000
25800,12299.200195
25900,12226.299805
26000,12372.400391
26100,12469.299805
26200,12283.900391
26300,10865.799805
26400,10918.599609
26500,4378.500000
26600,4436.899902
26700,11026.299805
26800,12331.500000
26900,12677.000000
27000,11140.200195
27100,9477.299805
27200,12050.599609
27300,8771.099609
27400,11878.000000
27500,12089.200195
27600,12324.400391
27700,12591.099609
27800,12765.599609
27900,12593.900391
28000,12882.900391
28100,12915.000000
28200,13309.000000
28300,13217.900391
28400,13187.599609
28500,10899.000000
28600,12533.599609
28700,12472.599609
28800,9486.000000
28900,13110.900391
29000,13425.799805
29100,13243.200195
29200,10040.099609
29300,10938.099609
29400,12554.400391
29500,11074.900391
29600,12200.799805
29700,13142.799805
29800,12687.299805
29900,13331.400391
30000,13408.200195
30100,13733.400391
30200,13870.299805
30300,14028.400391
30400,14121.200195
30500,14042.200195
