arr_size,avg_partition_size
100,46.500000
200,93.599998
300,146.899994
400,98.199997
500,195.399994
600,253.100006
700,323.200012
800,386.600006
900,432.100006
1000,479.399994
1100,501.100006
1200,547.900024
1300,596.400024
1400,660.299988
1500,727.700012
1600,776.700012
1700,802.299988
1800,830.500000
1900,880.500000
2000,941.099976
2100,1002.400024
2200,1062.099976
2300,1080.300049
2400,1145.099976
2500,1126.500000
2600,1221.400024
2700,1215.199951
2800,1161.300049
2900,1218.400024
3000,1262.400024
3100,1444.000000
3200,1486.599976
3300,1562.099976
3400,1561.900024
3500,1587.599976
3600,1634.800049
3700,1674.400024
3800,1753.599976
3900,1852.099976
4000,1881.500000
4100,1927.099976
4200,1942.300049
4300,1948.099976
4400,2021.500000
4500,2061.399902
4600,2170.100098
4700,2224.000000
4800,2290.000000
4900,2303.600098
5000,2387.699951
5100,2406.899902
5200,2491.100098
5300,2523.500000
5400,2524.199951
5500,2597.399902
5600,2707.199951
5700,2719.300049
5800,2811.800049
5900,2796.100098
6000,2846.100098
6100,2922.800049
6200,2948.899902
6300,2988.199951
6400,3048.500000
6500,3104.500000
6600,3175.600098
6700,3169.199951
6800,3197.800049
6900,3298.699951
7000,3349.399902
7100,3394.699951
7200,3391.199951
7300,3419.399902
7400,3525.100098
7500,3528.500000
7600,3534.300049
7700,3547.800049
7800,3697.600098
7900,3650.000000
8000,3799.600098
8100,3874.699951
8200,3897.800049
8300,3900.300049
8400,3963.399902
8500,3981.300049
8600,4099.899902
8700,4116.700195
8800,4189.200195
8900,4223.200195
9000,4289.500000
9100,4315.000000
9200,4284.000000
9300,4431.799805
9400,4435.600098
9500,4491.600098
9600,4487.500000
9700,4619.600098
9800,4692.500000
9900,4709.500000
10000,4763.899902
10100,4771.100098
10200,4897.200195
10300,4956.600098
10400,4941.399902
10500,5027.799805
10600,5006.500000
10700,5097.799805
10800,5154.700195
10900,5200.299805
11000,5213.500000
11100,5288.799805
11200,5378.100098
11300,5399.299805
11400,5445.600098
11500,5456.100098
11600,5520.100098
11700,5605.000000
11800,5624.200195
11900,5643.100098
12000,5736.600098
12100,5755.000000
12200,5802.399902
12300,5853.399902
12400,5892.600098
12500,5940.799805
12600,5988.899902
12700,6055.799805
12800,6038.899902
12900,6138.000000
13000,6198.500000
13100,6223.500000
13200,6271.100098
13300,6325.000000
13400,6345.899902
13500,6413.100098
13600,6469.600098
13700,6514.399902
13800,6593.500000
13900,6590.299805
14000,6648.000000
14100,6737.299805
14200,6759.399902
14300,6801.399902
14400,6845.000000
14500,6909.600098
14600,6954.700195
14700,6957.399902
14800,7032.100098
14900,7090.200195
15000,7127.200195
15100,7206.000000
15200,7230.700195
15300,7279.100098
15400,7335.700195
15500,7361.899902
15600,7462.399902
15700,7469.500000
15800,7525.299805
15900,7584.799805
16000,7602.000000
16100,7654.399902
16200,7752.799805
16300,7775.399902
16400,7766.100098
16500,7860.700195
16600,7890.200195
16700,7944.700195
16800,7998.600098
16900,6729.600098
17000,7519.799805
17100,7723.200195
17200,4196.100098
17300,7806.100098
17400,7749.700195
17500,8065.799805
17600,8141.799805
17700,8269.000000
17800,8420.099609
17900,7840.299805
18000,8199.400391
18100,8380.500000
18200,8461.900391
18300,8332.000000
18400,8699.299805
18500,8756.700195
18600,8471.900391
18700,8530.200195
18800,8904.599609
18900,8992.200195
19000,8976.400391
19100,9032.500000
19200,8905.900391
19300,7743.500000
19400,8609.299805
19500,9133.900391
19600,8486.900391
19700,8584.000000
19800,8573.500000
19900,9063.500000
20000,9122.900391
20100,9398.700195
20200,9383.000000
20300,8977.400391
20400,9028.400391
20500,9337.099609
20600,9657.900391
20700,9453.099609
20800,9671.099609
20900,9651.299805
21000,9655.599609
21100,9880.099609
21200,10022.900391
21300,9972.000000
21400,9917.400391
21500,10151.799805
21600,9895.200195
21700,10140.099609
21800,10283.400391
21900,10348.299805
22000,10303.900391
22100,10455.700195
22200,10309.599609
22300,10573.599609
22400,10557.099609
22500,10564.099609
22600,10762.099609
22700,10529.500000
22800,10796.099609
22900,10732.099609
23000,10972.799805
23100,10931.099609
23200,11064.200195
23300,11115.099609
23400,11149.299805
23500,11193.900391
23600,11055.599609
23700,11304.599609
23800,11422.099609
23900,11437.599609
24000,11496.200195
24100,11219.099609
24200,11548.799805
24300,11503.299805
24400,11518.500000
24500,11570.900391
24600,11597.500000
24700,11683.400391
24800,11736.000000
24900,11882.799805
25000,11868.799805
25100,11684.900391
25200,11806.599609
25300,12041.599609
25400,12119.099609
25500,12157.200195
25600,12200.299805
25700,12267.400391
25800,12070.900391
25900,12218.400391
26000,12288.900391
26100,12436.099609
26200,12463.200195
26300,12488.299805
26400,12568.500000
26500,12636.000000
26600,12686.000000
26700,12625.900391
26800,12670.500000
26900,12819.700195
27000,12877.099609
27100,12926.099609
27200,12997.799805
27300,13012.700195
27400,12962.900391
27500,13116.299805
27600,13136.099609
27700,13191.799805
27800,13275.200195
27900,13286.799805
28000,13288.000000
28100,13429.000000
28200,13310.500000
28300,13472.200195
28400,13524.000000
28500,13556.200195
28600,13513.099609
28700,13695.900391
28800,13692.400391
28900,13757.400391
29000,13686.900391
29100,13809.799805
29200,13909.200195
29300,13905.099609
29400,14022.299805
29500,14069.200195
29600,14096.400391
29700,14163.099609
29800,14202.500000
29900,14271.400391
30000,14307.200195
30100,14320.099609
30200,14401.299805
30300,14442.200195
30400,14504.900391
30500,14514.500000
30600,14585.000000
30700,14589.200195
30800,14681.299805
30900,14723.500000
31000,14786.299805
31100,14831.200195
31200,14873.099609
31300,14907.700195
31400,14951.000000
31500,14964.500000
31600,15062.700195
31700,15091.400391
31800,15149.700195
31900,15206.700195
32000,15213.400391
32100,15303.900391
32200,15366.400391
32300,15402.700195
32400,15457.099609
32500,15494.799805
32600,15522.200195
32700,15534.599609
32800,15611.799805
32900,15639.799805
33000,15749.900391
33100,15759.099609
33200,15825.900391
33300,15824.299805
33400,15918.500000
33500,15908.400391
33600,15968.000000
33700,16007.299805
33800,16094.299805
33900,16144.400391
34000,16186.700195
34100,16233.400391
34200,16339.200195
34300,16328.099609
34400,16394.099609
34500,16414.599609
34600,16469.199219
34700,16565.500000
34800,16544.099609
34900,16614.500000
35000,16535.800781
35100,16736.699219
35200,16752.699219
35300,16816.099609
35400,16870.599609
35500,16945.900391
35600,16942.800781
35700,17056.500000
35800,17012.500000
35900,17138.500000
36000,17162.400391
36100,17208.099609
36200,17262.900391
36300,17309.599609
36400,17432.000000
36500,17411.400391
36600,17447.199219
36700,17457.800781
36800,17551.300781
36900,17638.400391
37000,17607.000000
37100,17694.000000
37200,17751.500000
37300,17791.099609
37400,17818.099609
37500,17861.699219
37600,17966.099609
37700,17966.199219
37800,18037.199219
37900,18059.699219
38000,18093.199219
38100,18162.800781
38200,18257.400391
38300,18283.699219
38400,18332.900391
38500,18358.900391
38600,18392.900391
38700,18492.599609
38800,18495.599609
38900,18602.900391
39000,18674.199219
39100,18668.500000
39200,18742.500000
39300,18763.599609
39400,18838.699219
39500,18860.099609
39600,18925.500000
39700,18944.800781
39800,18964.099609
39900,19092.300781
40000,19056.500000
40100,19098.599609
40200,19174.099609
40300,19254.699219
40400,19267.800781
40500,19304.500000
40600,19337.400391
40700,19458.500000
40800,19485.500000
40900,19516.699219
41000,19513.599609
41100,19558.500000
41200,19692.500000
41300,19714.500000
41400,19726.099609
41500,19800.099609
41600,19840.500000
41700,19855.000000
41800,19924.400391
41900,20032.400391
42000,19990.900391
42100,20120.699219
42200,20187.900391
42300,20170.400391
42400,20213.099609
42500,20241.500000
42600,20300.900391
42700,20329.699219
42800,20429.300781
42900,20486.900391
43000,20536.800781
43100,20553.699219
43200,20627.900391
43300,20668.000000
43400,20683.099609
43500,20717.099609
43600,20767.000000
43700,20843.000000
43800,20905.300781
43900,20925.000000
44000,20941.500000
44100,21056.800781
44200,21104.199219
44300,21061.400391
44400,21165.099609
44500,21238.500000
44600,21331.500000
44700,21318.000000
44800,21341.400391
44900,21408.099609
45000,21448.900391
45100,21507.800781
45200,21546.699219
45300,21556.699219
45400,21641.400391
45500,21669.900391
45600,21712.599609
45700,21783.699219
45800,21856.699219
45900,21879.099609
46000,21934.699219
46100,21981.199219
