arr_size,avg_partition_size
100,44.200001
200,89.800003
300,141.699997
400,189.000000
500,239.699997
600,290.500000
700,322.899994
800,328.500000
900,418.500000
1000,477.600006
1100,517.900024
1200,557.900024
1300,622.900024
1400,684.099976
1500,730.700012
1600,789.700012
1700,824.900024
1800,895.200012
1900,915.500000
2000,956.200012
2100,991.200012
2200,1037.099976
2300,1079.000000
2400,1173.199951
2500,1206.800049
2600,1260.000000
2700,1322.000000
2800,1369.400024
2900,1406.500000
3000,1481.699951
3100,1547.400024
3200,1563.900024
3300,1351.199951
3400,1621.699951
3500,1685.000000
3600,1668.099976
3700,1782.400024
3800,1679.400024
3900,1587.800049
4000,1755.500000
4100,1876.599976
4200,1952.599976
4300,1929.300049
4400,2130.199951
4500,2209.500000
4600,2199.899902
4700,2280.300049
4800,2277.399902
4900,2371.600098
5000,2394.600098
5100,2400.899902
5200,2439.800049
5300,2530.800049
5400,2524.300049
5500,2597.100098
5600,2647.899902
5700,2745.899902
5800,2823.800049
5900,2901.000000
6000,2913.300049
6100,2934.899902
6200,2997.000000
6300,3109.500000
6400,3125.600098
6500,3235.800049
6600,3279.600098
6700,3285.100098
6800,3332.399902
6900,3384.699951
7000,3409.899902
7100,3450.000000
7200,3492.899902
7300,3545.199951
7400,3626.000000
7500,3640.500000
7600,3746.300049
7700,3754.600098
7800,3856.899902
7900,3920.000000
8000,3974.800049
8100,3967.199951
8200,4019.399902
8300,4116.500000
8400,4143.200195
8500,4205.299805
8600,4235.700195
8700,4308.799805
8800,4319.500000
8900,4387.799805
9000,4466.200195
9100,4552.799805
9200,4524.500000
9300,4569.799805
9400,4578.799805
9500,4636.799805
9600,4623.799805
9700,4706.000000
9800,4690.600098
9900,4865.000000
10000,4910.600098
10100,4861.700195
10200,4885.500000
10300,4885.399902
10400,5084.500000
10500,5049.600098
10600,5101.600098
10700,5236.000000
10800,5235.500000
10900,5331.600098
11000,5359.899902
11100,5513.799805
11200,5421.100098
11300,5410.600098
11400,5531.700195
11500,5565.899902
11600,5651.399902
11700,5679.200195
11800,5715.899902
11900,5894.000000
12000,5902.500000
12100,5925.000000
12200,5969.799805
12300,6064.100098
12400,6002.600098
12500,6075.500000
12600,6201.500000
12700,6298.100098
12800,6374.700195
12900,6376.799805
13000,6426.799805
13100,6552.299805
13200,6604.200195
13300,6545.000000
13400,6632.899902
13500,6622.899902
13600,6649.899902
13700,6762.500000
13800,6846.299805
13900,6840.000000
14000,6945.899902
14100,6912.200195
14200,6985.100098
14300,7098.600098
14400,7022.100098
14500,7207.299805
14600,7188.399902
14700,7210.500000
14800,7326.600098
14900,7325.000000
15000,7390.500000
15100,7503.299805
15200,7489.500000
15300,7498.799805
15400,7702.899902
15500,7614.200195
15600,7753.100098
15700,7532.600098
15800,7205.299805
15900,7210.299805
16000,7636.899902
16100,7536.600098
16200,7983.299805
16300,6710.399902
16400,7307.399902
16500,7577.299805
16600,7787.899902
16700,7652.200195
16800,7852.200195
16900,8228.000000
17000,8192.299805
17100,8258.700195
17200,8332.500000
17300,8215.500000
17400,8473.400391
17500,8395.500000
17600,8055.700195
17700,8291.200195
17800,8403.500000
17900,8513.799805
18000,8651.400391
18100,8566.099609
18200,8816.900391
18300,8874.900391
18400,8930.500000
18500,9064.799805
18600,8946.299805
18700,9048.400391
18800,7921.600098
18900,8556.200195
19000,8611.299805
19100,9177.700195
19200,9184.799805
19300,9128.000000
19400,9155.700195
19500,9043.099609
19600,8237.799805
19700,9206.299805
19800,8815.299805
19900,9317.200195
20000,9388.400391
20100,9568.799805
20200,9360.000000
20300,9760.200195
20400,9798.200195
20500,9762.599609
20600,9922.599609
20700,9859.500000
20800,9795.299805
20900,10014.700195
21000,10120.099609
21100,10092.799805
21200,10062.900391
21300,10123.299805
21400,10160.500000
21500,10188.599609
21600,10464.500000
21700,10331.500000
21800,10519.700195
21900,10696.900391
22000,10717.700195
22100,10514.799805
22200,10886.200195
22300,10771.799805
22400,10945.099609
22500,11032.700195
22600,10929.500000
22700,11088.900391
22800,11081.599609
22900,11121.200195
23000,11210.299805
23100,11341.299805
23200,11381.700195
23300,11288.900391
23400,11472.799805
23500,11458.700195
23600,11630.200195
23700,11554.400391
23800,11623.599609
23900,11625.299805
24000,11553.200195
24100,11759.099609
24200,11624.000000
24300,11688.000000
24400,11940.200195
24500,11947.200195
24600,11958.000000
24700,12039.500000
24800,12112.799805
24900,12169.599609
25000,12415.400391
25100,12251.799805
25200,12147.400391
25300,12238.200195
25400,12161.700195
25500,12386.400391
25600,12518.500000
25700,12377.200195
25800,12420.099609
25900,12408.900391
26000,12603.000000
26100,12637.299805
26200,12664.599609
26300,12853.500000
26400,12880.700195
26500,12826.700195
26600,12878.599609
26700,12940.700195
26800,12928.599609
26900,13144.799805
27000,13089.700195
27100,13142.599609
27200,13112.900391
27300,13210.000000
27400,13174.500000
27500,13273.099609
27600,13444.000000
27700,13430.099609
27800,13429.599609
27900,13553.500000
28000,13566.299805
28100,13668.099609
28200,13763.000000
28300,13827.900391
28400,13899.599609
28500,14168.299805
28600,13953.900391
28700,14019.500000
28800,14130.599609
28900,14110.599609
29000,14091.900391
29100,14193.700195
29200,14310.099609
29300,14397.700195
29400,14524.000000
29500,14403.900391
29600,14429.700195
29700,14417.200195
29800,14551.000000
29900,14548.200195
30000,14570.000000
30100,14613.700195
30200,14743.500000
30300,14818.500000
30400,14863.099609
30500,14793.299805
30600,15062.799805
30700,15053.400391
30800,15082.599609
30900,15054.500000
31000,15068.500000
31100,15314.099609
31200,15236.700195
31300,15431.200195
31400,15520.799805
31500,15496.400391
31600,15621.000000
31700,15782.500000
31800,15696.599609
31900,15749.000000
32000,15745.400391
32100,15636.799805
32200,15789.099609
32300,15909.799805
32400,16017.000000
32500,16059.700195
32600,16117.299805
32700,16106.500000
32800,16202.299805
32900,16327.799805
33000,16301.500000
33100,16300.299805
33200,16420.900391
33300,16289.000000
33400,16405.099609
33500,16634.099609
33600,16376.599609
33700,16571.900391
33800,16655.000000
33900,16717.800781
34000,16908.500000
34100,16887.199219
34200,16899.099609
34300,16952.900391
34400,16994.599609
34500,16779.800781
34600,17095.500000
34700,17145.400391
34800,17098.099609
34900,17253.800781
35000,17172.599609
35100,17304.500000
35200,17164.199219
35300,17224.699219
35400,17355.599609
35500,17509.300781
35600,17511.500000
35700,17594.199219
35800,17567.800781
35900,17712.599609
36000,17804.099609
36100,17795.699219
36200,17823.699219
36300,17835.800781
36400,17786.400391
36500,17849.900391
36600,17985.500000
36700,18116.199219
36800,18067.099609
36900,18042.900391
37000,18201.000000
37100,18110.800781
37200,18196.699219
37300,18283.199219
37400,18340.199219
37500,18345.000000
37600,18514.500000
37700,18700.699219
37800,18725.099609
37900,18703.599609
38000,18797.500000
38100,18844.199219
38200,18868.500000
38300,18620.300781
38400,18988.099609
38500,18992.099609
38600,19104.199219
38700,19161.000000
38800,19265.099609
38900,19329.199219
39000,19239.300781
39100,19254.500000
39200,19375.599609
39300,19430.099609
39400,19547.199219
39500,19509.599609
39600,19443.099609
39700,19528.699219
39800,19554.699219
39900,19840.699219
40000,19778.300781
40100,19914.000000
40200,19969.199219
40300,19980.199219
40400,19981.300781
40500,19999.699219
40600,20158.099609
40700,20120.099609
40800,19997.500000
40900,20256.900391
41000,20147.699219
41100,20235.099609
41200,20233.699219
41300,20438.500000
41400,20257.699219
41500,20585.099609
41600,20575.699219
41700,20353.199219
41800,20518.099609
41900,20756.699219
42000,20683.500000
42100,20682.199219
42200,20889.000000
42300,20789.199219
42400,20821.199219
42500,20851.800781
42600,21048.400391
42700,21068.400391
42800,21041.699219
42900,21165.000000
43000,21057.599609
43100,21223.900391
43200,21335.699219
43300,21254.699219
43400,21691.500000
43500,21413.599609
43600,21562.599609
43700,21688.699219
43800,21843.400391
43900,21850.199219
44000,21624.199219
44100,21810.500000
44200,21923.699219
44300,21888.400391
44400,21974.699219
44500,21814.800781
44600,22024.199219
44700,22093.900391
44800,22018.099609
44900,22071.099609
45000,22282.099609
45100,22339.900391
45200,22326.500000
45300,22364.900391
45400,22384.000000
45500,22493.300781
