arr_size,avg_partition_size
100,47.900002
200,96.599998
300,142.899994
400,112.599998
500,230.100006
600,278.000000
700,337.399994
800,398.299988
900,433.200012
1000,497.399994
1100,501.000000
1200,566.500000
1300,611.099976
1400,688.900024
1500,735.799988
1600,792.200012
1700,841.299988
1800,854.299988
1900,895.400024
2000,956.000000
2100,1015.000000
2200,1087.199951
2300,1135.099976
2400,1186.300049
2500,1121.599976
2600,1168.800049
2700,1289.199951
2800,1167.300049
2900,1276.599976
3000,1350.300049
3100,1428.099976
3200,1542.300049
3300,1572.099976
3400,1636.800049
3500,1635.900024
3600,1661.000000
3700,1717.099976
3800,1797.300049
3900,1877.400024
4000,1946.599976
4100,1951.900024
4200,1991.800049
4300,2006.199951
4400,2098.399902
4500,2181.800049
4600,2242.100098
4700,2304.699951
4800,2300.500000
4900,2406.399902
5000,2480.399902
5100,2557.199951
5200,2529.899902
5300,2652.800049
5400,2649.800049
5500,2691.600098
5600,2762.300049
5700,2776.000000
5800,2899.500000
5900,2922.100098
6000,2958.800049
6100,2961.399902
6200,3081.300049
6300,3126.199951
6400,3165.399902
6500,3217.800049
6600,3267.399902
6700,3315.199951
6800,3349.899902
6900,3426.899902
7000,3470.199951
7100,3505.399902
7200,3583.100098
7300,3528.699951
7400,3595.199951
7500,3652.399902
7600,3679.500000
7700,3707.800049
7800,3780.600098
7900,3858.500000
8000,3927.899902
8100,3973.899902
8200,4009.100098
8300,4054.300049
8400,4031.100098
8500,4091.600098
8600,4198.100098
8700,4267.200195
8800,4341.399902
8900,4396.700195
9000,4360.299805
9100,4477.600098
9200,4465.000000
9300,4535.500000
9400,4595.000000
9500,4703.799805
9600,4668.000000
9700,4756.799805
9800,4846.000000
9900,4941.799805
10000,4888.200195
10100,4958.700195
10200,4999.200195
10300,5098.799805
10400,5104.799805
10500,5150.500000
10600,5267.100098
10700,5246.100098
10800,5348.399902
10900,5359.600098
11000,5516.700195
11100,5547.700195
11200,5528.100098
11300,5568.700195
11400,5595.899902
11500,5668.100098
11600,5661.000000
11700,5783.399902
11800,5846.799805
11900,5896.500000
12000,5913.899902
12100,5887.200195
12200,5966.899902
12300,6002.299805
12400,6124.000000
12500,6087.700195
12600,6083.700195
12700,6213.100098
12800,6288.000000
12900,6300.799805
13000,6355.000000
13100,6375.100098
13200,6463.899902
13300,6499.600098
13400,6500.500000
13500,6601.000000
13600,6717.100098
13700,6712.000000
13800,6813.899902
13900,6818.700195
14000,6925.799805
14100,6932.899902
14200,6986.500000
14300,7005.799805
14400,7108.600098
14500,7148.899902
14600,7224.200195
14700,7240.200195
14800,7290.000000
14900,7347.200195
15000,7379.299805
15100,7495.299805
15200,7554.500000
15300,7541.600098
15400,7569.399902
15500,7587.700195
15600,7672.000000
15700,7698.500000
15800,7789.200195
15900,7919.299805
16000,7915.399902
