size,avg_count,avg_time
2,0,0.000340
4,1,0.000470
8,6,0.000470
16,18,0.000990
32,46,0.001770
64,119,0.003850
128,276,0.008790
256,608,0.018730
512,1279,0.037200
1024,2629,0.079420
2048,5272,0.188290
4096,10642,0.500380
8192,21521,1.444260
16384,43024,4.664290
32768,85786,16.197350
65536,171932,60.808410
131072,345180,233.912760
262144,687040,920.119700
524288,1376695,3630.033960
