Size: 2, Run: 69, Comparisons: 1, Time: 0.000000
Size: 2, Run: 70, Comparisons: 1, Time: 0.000000
Size: 2, Run: 71, Comparisons: 1, Time: 0.000000
Size: 2, Run: 72, Comparisons: 1, Time: 0.000000
Size: 2, Run: 73, Comparisons: 0, Time: 0.001000
Size: 2, Run: 74, Comparisons: 1, Time: 0.000000
Size: 2, Run: 75, Comparisons: 1, Time: 0.001000
Size: 2, Run: 76, Comparisons: 0, Time: 0.000000
Size: 2, Run: 77, Comparisons: 0, Time: 0.000000
Size: 2, Run: 78, Comparisons: 0, Time: 0.004000
Size: 2, Run: 79, Comparisons: 0, Time: 0.001000
Size: 2, Run: 80, Comparisons: 0, Time: 0.000000
Size: 2, Run: 81, Comparisons: 1, Time: 0.000000
Size: 2, Run: 82, Comparisons: 0, Time: 0.000000
Size: 2, Run: 83, Comparisons: 0, Time: 0.001000
Size: 2, Run: 84, Comparisons: 1, Time: 0.000000
Size: 2, Run: 85, Comparisons: 1, Time: 0.000000
Size: 2, Run: 86, Comparisons: 1, Time: 0.000000
Size: 2, Run: 87, Comparisons: 1, Time: 0.000000
Size: 2, Run: 88, Comparisons: 1, Time: 0.000000
Size: 2, Run: 89, Comparisons: 1, Time: 0.000000
Size: 2, Run: 90, Comparisons: 0, Time: 0.000000
Size: 2, Run: 91, Comparisons: 0, Time: 0.000000
Size: 2, Run: 92, Comparisons: 0, Time: 0.001000
Size: 2, Run: 93, Comparisons: 0, Time: 0.001000
Size: 2, Run: 94, Comparisons: 1, Time: 0.001000
Size: 2, Run: 95, Comparisons: 0, Time: 0.000000
Size: 2, Run: 96, Comparisons: 1, Time: 0.000000
Size: 2, Run: 97, Comparisons: 0, Time: 0.000000
Size: 2, Run: 98, Comparisons: 0, Time: 0.000000
Size: 2, Run: 99, Comparisons: 0, Time: 0.001000
Size: 2, Run: 100, Comparisons: 0, Time: 0.000000
Size: 4, Run: 1, Comparisons: 1, Time: 0.001000
Size: 4, Run: 2, Comparisons: 1, Time: 0.000000
Size: 4, Run: 3, Comparisons: 2, Time: 0.000000
Size: 4, Run: 4, Comparisons: 1, Time: 0.000000
Size: 4, Run: 5, Comparisons: 1, Time: 0.000000
Size: 4, Run: 6, Comparisons: 1, Time: 0.000000
Size: 4, Run: 7, Comparisons: 1, Time: 0.000000
Size: 4, Run: 8, Comparisons: 2, Time: 0.001000
Size: 4, Run: 9, Comparisons: 4, Time: 0.001000
Size: 4, Run: 10, Comparisons: 1, Time: 0.001000
Size: 4, Run: 11, Comparisons: 1, Time: 0.001000
Size: 4, Run: 12, Comparisons: 3, Time: 0.001000
Size: 4, Run: 13, Comparisons: 2, Time: 0.001000
Size: 4, Run: 14, Comparisons: 4, Time: 0.001000
Size: 4, Run: 15, Comparisons: 1, Time: 0.000000
Size: 4, Run: 16, Comparisons: 1, Time: 0.000000
Size: 4, Run: 17, Comparisons: 1, Time: 0.001000
Size: 4, Run: 18, Comparisons: 3, Time: 0.001000
Size: 4, Run: 19, Comparisons: 1, Time: 0.001000
Size: 4, Run: 20, Comparisons: 4, Time: 0.001000
Size: 4, Run: 21, Comparisons: 4, Time: 0.001000
Size: 4, Run: 22, Comparisons: 2, Time: 0.000000
Size: 4, Run: 23, Comparisons: 1, Time: 0.000000
Size: 4, Run: 24, Comparisons: 1, Time: 0.000000
Size: 4, Run: 25, Comparisons: 2, Time: 0.000000
Size: 4, Run: 26, Comparisons: 3, Time: 0.001000
Size: 4, Run: 27, Comparisons: 3, Time: 0.001000
Size: 4, Run: 28, Comparisons: 2, Time: 0.001000
