size,avg_count,avg_time
2,0,0.000350
4,1,0.000500
8,5,0.000520
16,17,0.001030
32,40,0.001800
64,100,0.003960
128,224,0.008220
256,479,0.018090
512,980,0.044040
1024,1995,0.098450
2048,4014,0.291640
4096,8030,0.926600
8192,16093,3.179100
16384,32398,11.877340
32768,64948,44.648470
65536,128994,174.957700
131072,258860,692.216680
262144,514591,2765.956450
524288,1040698,11040.332520
